Shadowkeep 2005: survival,5000,New York,2005-09-08,2005-09-10,flame
Shadowkeep 2006: revivial,5000,Las Vagus,2006-05-14,2006-05-16,flame
Shadowkeep 2007: migration,5000,Miami,2007-06-17,2007-06-19,flame
Shadowkeep 2008: temptation,10000,Dallas,2008-05-12,2008-05-14,flame
Shadowkeep 2009: shadow games,15000,Los Angeles,2009-05-12,2009-05-14,sandser
Shadowkeep 2010: life,15000,Little Rock,2010-05-12,2010-05-14,daBomb
Shadowkeep 2011: death,15000,Memphis,2011-05-12,2011-05-14,daBomb
Shadowkeep 2012: comeback,13000,Austin,2012-05-12,2012-05-14,fakeroot
Shadowkeep 2013: allstars,20000,Washington DC,2013-05-12,2013-05-14,negativeVolt
Shadowkeep 2014: revenge,20000,Nashville,2014-05-12,2013-05-14,shamer
Shadowkeep 2015: start,50000,Knoxville,2015-05-12,2015-05-14,
